PERIODO,VALOR,TIPO DATO,NOTA
2021,450.744,Definitivo,
2020,493.776,Definitivo,
2019,418.703,Definitivo,
2018,427.721,Definitivo,
2017,424.523,Definitivo,
2016,410.611,Definitivo,
2015,422.568,Definitivo,
2014,395.830,Definitivo,
2013,390.419,Definitivo,
2012,402.950,Definitivo,
2011,387.911,Definitivo,
2010,382.047,Definitivo,
2009,384.933,Definitivo,
2008,386.324,Definitivo,
2007,385.361,Definitivo,
2006,371.478,Definitivo,
2005,387.355,Definitivo,
2004,371.934,Definitivo,
2003,384.828,Definitivo,
2002,368.618,Definitivo,
2001,360.131,Definitivo,
2000,360.391,Definitivo,
1999,371.102,Definitivo,
1998,360.511,Definitivo,
1997,349.521,Definitivo,
1996,351.449,Definitivo,
1995,346.227,Definitivo,
1994,338.242,Definitivo,
1993,339.661,Definitivo,
1992,331.515,Definitivo,
1991,337.691,Definitivo,
1990,333.142,Definitivo,
1989,324.796,Definitivo,
1988,319.437,Definitivo,
1987,310.073,Definitivo,
1986,310.413,Definitivo,
1985,312.532,Definitivo,
1984,299.409,Definitivo,
1983,302.569,Definitivo,
1982,286.655,Definitivo,
1981,293.386,Definitivo,
1980,289.344,Definitivo,
