Sexo;periodo;Total
Hombres;2020;79,6
Hombres;2019;80,9
Hombres;2018;80,5
Hombres;2017;80,4
Hombres;2016;80,3
Hombres;2015;79,9
Hombres;2014;80,1
Hombres;2013;79,9
Hombres;2012;79,4
Hombres;2011;79,3
Hombres;2010;79,0
Hombres;2009;78,6
Hombres;2008;78,2
Hombres;2007;77,8
Hombres;2006;77,7
Hombres;2005;77,0
Hombres;2004;77,0
Hombres;2003;76,4
Hombres;2002;76,4
Hombres;2001;76,3
Hombres;2000;75,9
Hombres;1999;75,4
Hombres;1998;75,4
Hombres;1997;75,3
Hombres;1996;74,7
Hombres;1995;74,5
Hombres;1994;74,5
Hombres;1993;74,1
Hombres;1992;73,9
Hombres;1991;73,5
Mujeres;2020;85,1
Mujeres;2019;86,2
Mujeres;2018;85,8
Mujeres;2017;85,7
Mujeres;2016;85,8
Mujeres;2015;85,4
Mujeres;2014;85,6
Mujeres;2013;85,5
Mujeres;2012;85,1
Mujeres;2011;85,1
Mujeres;2010;85,0
Mujeres;2009;84,7
Mujeres;2008;84,3
Mujeres;2007;84,1
Mujeres;2006;84,2
Mujeres;2005;83,5
Mujeres;2004;83,6
Mujeres;2003;83,0
Mujeres;2002;83,1
Mujeres;2001;83,1
Mujeres;2000;82,7
Mujeres;1999;82,3
Mujeres;1998;82,3
Mujeres;1997;82,2
Mujeres;1996;81,9
Mujeres;1995;81,7
Mujeres;1994;81,6
Mujeres;1993;81,2
Mujeres;1992;81,1
Mujeres;1991;80,6
